Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2007-07-28,-1,1304.0,16.7,61.01379075534379,25.55854445562533,158.4090909090909
Partly cloudy (5/8),2007-07-29,-1,1305.0,15.0,61.01379075534379,25.55854445562533,191.1976430976431
Clear (0/8),2007-07-30,-1,1306.0,14.5,61.01379075534379,25.55854445562533,167.279797979798
Mostly cloudy (7/8),2007-07-31,-1,1307.0,12.8,61.01379075534379,25.55854445562533,125.5737373737374
Mostly cloudy (7/8),2007-08-01,-1,1308.0,15.6,61.01379075534379,25.55854445562533,203.8751325989392
Mostly clear (3/8),2007-08-02,-1,1309.0,16.1,61.01379075534379,25.55854445562533,195.14377104377104
Mostly cloudy (7/8),2007-08-03,-1,1310.0,16.2,61.01379075534379,25.55854445562533,204.0506060606061
Mostly cloudy (7/8),2007-08-04,-1,1311.0,17.8,61.01379075534379,25.55854445562533,128.60424242424244
Clear (0/8),2007-08-05,-1,1312.0,18.7,61.01379075534379,25.55854445562533,174.6221212121212
Clear (0/8),2007-08-06,-1,1313.0,19.7,61.01379075534379,25.55854445562533,199.7121212121212
Clear (0/8),2007-08-07,-1,1314.0,20.9,61.01379075534379,25.55854445562533,285.1569696969697
Clear (0/8),2007-08-08,-1,1315.0,20.2,61.01379075534379,25.55854445562533,277.4430303030303
Clear (0/8),2007-08-09,-1,1316.0,20.0,61.01379075534379,25.55854445562533,194.4424242424242
Clear (0/8),2007-08-10,-1,1317.0,20.5,61.01379075534379,25.55854445562533,234.27272727272725
Clear (0/8),2007-08-11,-1,1318.0,20.6,61.01379075534379,25.55854445562533,158.95303030303032
Clear (1/8),2007-08-12,-1,1319.0,18.0,61.01379075534379,25.55854445562533,125.47609427609429
Mostly cloudy (7/8),2007-08-13,-1,1320.0,21.4,61.01379075534379,25.55854445562533,156.2111111111111
Clear (0/8),2007-08-14,-1,1321.0,19.6,61.01379075534379,25.55854445562533,153.97848484848484
Mostly cloudy (7/8),2007-08-15,-1,1322.0,19.0,61.01379075534379,25.55854445562533,176.26363636363635
Clear (0/8),2007-08-16,-1,1323.0,18.6,61.01379075534379,25.55854445562533,168.05545454545452
Partly cloudy (5/8),2007-08-17,-1,1324.0,18.5,61.01379075534379,25.55854445562533,119.38727272727272
