Cloud cover [1/8],Date,Snow depth [cm],Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2021-12-16,26,-3.6,66.16575626929145,29.152157226680888,7.0
Cloudy (8/8),2021-12-17,26,-7.2,66.16575626929145,29.152157226680888,50.833333333333336
Cloudy (8/8),2021-12-18,30,-6.9,66.16575626929145,29.152157226680888,1.0666666666666669
Cloudy (8/8),2021-12-19,29,-11.1,66.16575626929145,29.152157226680888,5.866666666666667
Clear (0/8),2021-12-20,28,-14.6,66.16575626929145,29.152157226680888,42.26666666666667
Clear (0/8),2021-12-21,28,-12.3,66.16575626929145,29.152157226680888,50.06666666666667
Cloudy (8/8),2021-12-22,27,-13,66.16575626929145,29.152157226680888,10.766666666666666
Mostly cloudy (6/8),2021-12-23,30,-14.7,66.16575626929145,29.152157226680888,1.1666666666666667
Mostly cloudy (7/8),2021-12-24,32,-14.7,66.16575626929145,29.152157226680888,23.3
Mostly cloudy (7/8),2021-12-25,32,-16.1,66.16575626929145,29.152157226680888,2.0333333333333337
Mostly cloudy (7/8),2021-12-26,31,-15.4,66.16575626929145,29.152157226680888,30.63333333333333
Mostly cloudy (6/8),2021-12-27,31,-14.5,66.16575626929145,29.152157226680888,34.5
Cloudy (8/8),2021-12-28,30,-13,66.16575626929145,29.152157226680888,1.7333333333333334
Cloudy (8/8),2021-12-29,33,-9,66.16575626929145,29.152157226680888,0.7666666666666666
Cloudy (8/8),2021-12-30,33,-6.2,66.16575626929145,29.152157226680888,0.9666666666666668
Cloudy (8/8),2021-12-31,43,-7.9,66.16575626929145,29.152157226680888,1.8333333333333333
Clear (1/8),2022-01-01,47,-11.4,66.16575626929145,29.152157226680888,53.0
Mostly cloudy (7/8),2022-01-02,45,-11.9,66.16575626929145,29.152157226680888,1.7333333333333332
Cloudy (8/8),2022-01-03,43,-16.3,66.16575626929145,29.152157226680888,1.2666666666666668
Cloudy (8/8),2022-01-04,43,-17.3,66.16575626929145,29.152157226680888,0.6666666666666666
Cloudy (8/8),2022-01-05,45,-15.6,66.16575626929145,29.152157226680888,1.9333333333333331
Cloudy (8/8),2022-01-06,49,-17.2,66.16575626929145,29.152157226680888,10.9
Cloudy (8/8),2022-01-07,48,-12.3,66.16575626929145,29.152157226680888,19.23333333333333
Clear (0/8),2022-01-08,47,-13.4,66.16575626929145,29.152157226680888,1.6666666666666667
Cloudy (8/8),2022-01-09,47,-15.9,66.16575626929145,29.152157226680888,1.4333333333333331
Mostly clear (3/8),2022-01-10,45,-12.9,66.16575626929145,29.152157226680888,74.39999999999999
Cloudy (8/8),2022-01-11,45,-11.8,66.16575626929145,29.152157226680888,4.1000000000000005
Cloudy (8/8),2022-01-12,44,-5.1,66.16575626929145,29.152157226680888,0.6333333333333334
Cloudy (8/8),2022-01-13,46,-4,66.16575626929145,29.152157226680888,29.83333333333333
Clear (0/8),2022-01-14,46,-6.3,66.16575626929145,29.152157226680888,12.8
Cloudy (8/8),2022-01-15,46,-5.6,66.16575626929145,29.152157226680888,69.56666666666666
Mostly cloudy (7/8),2022-01-16,46,-5.2,66.16575626929145,29.152157226680888,1.2
Mostly cloudy (7/8),2022-01-17,51,-8.8,66.16575626929145,29.152157226680888,67.76666666666667
Clear (0/8),2022-01-18,50,-10.7,66.16575626929145,29.152157226680888,6.133333333333334
Cloudy (8/8),2022-01-19,49,-1.2,66.16575626929145,29.152157226680888,1.3666666666666665
Cloudy (8/8),2022-01-20,47,-7,66.16575626929145,29.152157226680888,0.6
Clear (0/8),2022-01-21,47,-8.1,66.16575626929145,29.152157226680888,0.3333333333333333
Clear (0/8),2022-01-22,46,-9.6,66.16575626929145,29.152157226680888,17.2
Cloudy (8/8),2022-01-23,46,-4.5,66.16575626929145,29.152157226680888,1.0666666666666669
Cloudy (8/8),2022-01-24,46,-1.7,66.16575626929145,29.152157226680888,0.2666666666666666
Cloudy (8/8),2022-01-25,48,-9.2,66.16575626929145,29.152157226680888,95.73333333333336
Clear (0/8),2022-01-26,48,-11.2,66.16575626929145,29.152157226680888,1.5
Cloudy (8/8),2022-01-27,47,-10.6,66.16575626929145,29.152157226680888,0.9666666666666668
Cloudy (8/8),2022-01-28,47,-10.1,66.16575626929145,29.152157226680888,1.0666666666666669
Cloudy (8/8),2022-01-29,48,-11.2,66.16575626929145,29.152157226680888,1.6333333333333335
Cloudy (8/8),2022-01-30,49,-12.1,66.16575626929145,29.152157226680888,0.8333333333333334
Partly cloudy (5/8),2022-01-31,49,-10.6,66.16575626929145,29.152157226680888,1.4
Mostly cloudy (6/8),2022-02-01,47,-13.7,66.16575626929145,29.152157226680888,2.6333333333333333
Cloudy (8/8),2022-02-02,48,-12.3,66.16575626929145,29.152157226680888,6.2
Cloudy (8/8),2022-02-03,51,-13.4,66.16575626929145,29.152157226680888,35.333333333333336
Mostly cloudy (6/8),2022-02-04,52,-15.8,66.16575626929145,29.152157226680888,1.6666666666666667
Cloudy (8/8),2022-02-05,57,-9.7,66.16575626929145,29.152157226680888,0.8333333333333334
Cloudy (8/8),2022-02-06,56,-8.9,66.16575626929145,29.152157226680888,0.6
Cloudy (8/8),2022-02-07,56,-7.4,66.16575626929145,29.152157226680888,2.8000000000000003
Cloudy (8/8),2022-02-08,57,-6.2,66.16575626929145,29.152157226680888,1.2
Cloudy (8/8),2022-02-09,58,-6.4,66.16575626929145,29.152157226680888,33.766666666666666
Cloudy (8/8),2022-02-10,58,-5.3,66.16575626929145,29.152157226680888,84.53333333333333
Cloudy (8/8),2022-02-11,58,-6.7,66.16575626929145,29.152157226680888,110.03333333333336
Mostly cloudy (7/8),2022-02-12,56,-11,66.16575626929145,29.152157226680888,66.43333333333334
Clear (0/8),2022-02-13,58,-11.8,66.16575626929145,29.152157226680888,1.3
Cloudy (8/8),2022-02-14,60,-7.4,66.16575626929145,29.152157226680888,49.8
Clear (0/8),2022-02-15,59,-9.1,66.16575626929145,29.152157226680888,51.333333333333336
