"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Helsinki Kumpula","2011","9","18","03:00","-1"
"Helsinki Kumpula","2011","9","19","03:00","-1"
"Helsinki Kumpula","2011","9","20","03:00","-1"
"Helsinki Kumpula","2011","9","21","03:00","-1"
"Helsinki Kumpula","2011","9","22","03:00","-1"
"Helsinki Kumpula","2011","9","23","03:00","-1"
"Helsinki Kumpula","2011","9","24","03:00","-1"
"Helsinki Kumpula","2011","9","25","03:00","-1"
"Helsinki Kumpula","2011","9","26","03:00","-1"
"Helsinki Kumpula","2011","9","27","03:00","-1"
"Helsinki Kumpula","2011","9","28","03:00","-1"
"Helsinki Kumpula","2011","9","29","03:00","-1"
"Helsinki Kumpula","2011","9","30","03:00","-1"
"Helsinki Kumpula","2011","10","1","03:00","-1"
"Helsinki Kumpula","2011","10","2","03:00","-1"
"Helsinki Kumpula","2011","10","3","03:00","-1"
"Helsinki Kumpula","2011","10","4","03:00","-1"
"Helsinki Kumpula","2011","10","5","03:00","-1"
"Helsinki Kumpula","2011","10","6","03:00","-1"
"Helsinki Kumpula","2011","10","7","03:00","-1"
"Helsinki Kumpula","2011","10","8","03:00","-1"
"Helsinki Kumpula","2011","10","9","03:00","-1"
"Helsinki Kumpula","2011","10","10","03:00","-1"
"Helsinki Kumpula","2011","10","11","03:00","-1"
"Helsinki Kumpula","2011","10","12","03:00","-1"
"Helsinki Kumpula","2011","10","13","03:00","-1"
"Helsinki Kumpula","2011","10","14","03:00","-1"
"Helsinki Kumpula","2011","10","15","03:00","-1"
"Helsinki Kumpula","2011","10","16","03:00","-1"
"Helsinki Kumpula","2011","10","17","03:00","-1"
"Helsinki Kumpula","2011","10","18","03:00","-1"
"Helsinki Kumpula","2011","10","19","03:00","-1"
"Helsinki Kumpula","2011","10","20","03:00","-1"
"Helsinki Kumpula","2011","10","21","03:00","-1"
"Helsinki Kumpula","2011","10","22","03:00","-1"
"Helsinki Kumpula","2011","10","23","03:00","-1"
"Helsinki Kumpula","2011","10","24","03:00","-1"
