NewIndex,Direct solar radiation mean [W/m2],Date
677,102.4,2018-11-28
678,0.6,2018-11-29
679,0.3,2018-11-30
680,116.3,2018-12-01
681,126.1,2019-10-01
682,51.0,2019-10-02
683,-0.1,2019-10-03
684,27.6,2019-10-04
685,93.0,2019-10-05
686,19.4,2019-10-06
687,48.7,2019-10-07
688,1.1,2019-10-08
689,18.9,2019-10-09
690,2.2,2019-10-10
691,10.5,2019-10-11
692,23.2,2019-10-12
693,94.8,2019-10-13
694,0.2,2019-10-14
695,88.4,2019-10-15
696,-0.1,2019-10-16
697,0.1,2019-10-17
698,0.5,2019-10-18
699,23.0,2019-10-19
700,0.3,2019-10-20
701,4.8,2019-10-21
702,0.4,2019-10-22
703,150.6,2019-10-23
704,25.8,2019-10-24
705,1.4,2019-10-25
706,-0.1,2019-10-26
707,0.2,2019-10-27
708,2.5,2019-10-28
709,95.8,2019-10-29
710,192.1,2019-10-30
711,34.6,2019-10-31
712,153.3,2019-11-01
713,0.2,2019-11-02
714,0.5,2019-11-03
715,8.3,2019-11-04
716,0.2,2019-11-05
717,24.2,2019-11-06
718,0.2,2019-11-07
719,0.4,2019-11-08
720,0.2,2019-11-09
721,0.6,2019-11-10
722,0.7,2019-11-11
723,0.9,2019-11-12
724,0.8,2019-11-13
725,0.7,2019-11-14
726,66.0,2019-11-15
727,0.4,2019-11-16
728,0.2,2019-11-17
729,0.2,2019-11-18
730,0.0,2019-11-19
731,0.1,2019-11-20
732,0.0,2019-11-21
733,0.0,2019-11-22
734,2.8,2019-11-23
735,0.3,2019-11-24
736,0.5,2019-11-25
737,0.4,2019-11-26
738,0.7,2019-11-27
739,0.7,2019-11-28
740,0.5,2019-11-29
741,70.6,2019-11-30
742,48.5,2019-12-01
743,91.5,2020-10-01
744,107,2020-10-02
745,31.4,2020-10-03
746,-0.1,2020-10-04
747,273.2,2020-10-05
748,16.2,2020-10-06
749,30.3,2020-10-07
750,38,2020-10-08
751,1.5,2020-10-09
752,98.8,2020-10-10
753,87.1,2020-10-11
754,58.2,2020-10-12
755,42.6,2020-10-13
756,53,2020-10-14
757,144.6,2020-10-15
758,145.6,2020-10-16
759,74,2020-10-17
760,54.9,2020-10-18
761,33.2,2020-10-19
762,-,2020-10-20
763,-,2020-10-21
764,0.1,2020-10-22
765,15.9,2020-10-23
766,50.3,2020-10-24
767,0.5,2020-10-25
768,0.2,2020-10-26
769,0.1,2020-10-27
770,10.9,2020-10-28
771,8.6,2020-10-29
772,0.3,2020-10-30
773,0.3,2020-10-31
774,0.2,2020-11-01
775,0.2,2020-11-02
776,54.8,2020-11-03
777,5.9,2020-11-04
778,9,2020-11-05
779,110.3,2020-11-06
780,124.9,2020-11-07
781,165.6,2020-11-08
782,87.6,2020-11-09
783,52,2020-11-10
784,0.5,2020-11-11
785,21.1,2020-11-12
786,0,2020-11-13
787,0.2,2020-11-14
788,5.7,2020-11-15
789,0.1,2020-11-16
790,0.1,2020-11-17
791,38.3,2020-11-18
792,0.1,2020-11-19
793,42.8,2020-11-20
794,6.2,2020-11-21
795,46.5,2020-11-22
796,90.6,2020-11-23
797,44.2,2020-11-24
798,0.5,2020-11-25
799,0.1,2020-11-26
800,0.3,2020-11-27
801,0.6,2020-11-28
802,0.1,2020-11-29
803,0.3,2020-11-30
804,0.5,2020-12-01
805,0.3,2021-10-01
806,86.0,2021-10-02
807,180.5,2021-10-03
808,77.7,2021-10-04
809,0.2,2021-10-05
810,78.0,2021-10-06
811,25.9,2021-10-07
812,4.3,2021-10-08
813,0.8,2021-10-09
814,0.4,2021-10-10
815,25.9,2021-10-11
816,19.5,2021-10-12
817,18.5,2021-10-13
818,117.2,2021-10-14
819,-0.1,2021-10-15
820,198.7,2021-10-16
821,228.1,2021-10-17
822,74.0,2021-10-18
823,210.6,2021-10-19
824,0.1,2021-10-20
825,40.9,2021-10-21
826,-0.1,2021-10-22
827,3.5,2021-10-23
828,37.1,2021-10-24
829,7.9,2021-10-25
830,0.2,2021-10-26
831,3.0,2021-10-27
832,20.6,2021-10-28
833,0.1,2021-10-29
834,0.5,2021-10-30
835,2.3,2021-10-31
836,38.3,2021-11-01
837,99.8,2021-11-02
838,-0.1,2021-11-03
839,21.2,2021-11-04
840,0.0,2021-11-05
841,47.4,2021-11-06
842,0.1,2021-11-07
843,75.9,2021-11-08
844,35.6,2021-11-09
845,0.2,2021-11-10
846,79.8,2021-11-11
847,13.0,2021-11-12
848,2.7,2021-11-13
849,156.5,2021-11-14
850,5.4,2021-11-15
851,0.0,2021-11-16
852,0.0,2021-11-17
853,3.6,2021-11-18
854,0.6,2021-11-19
855,39.8,2021-11-20
856,3.2,2021-11-21
857,95.7,2021-11-22
858,0.6,2021-11-23
859,47.2,2021-11-24
860,0.9,2021-11-25
861,37.8,2021-11-26
862,25.9,2021-11-27
863,1.0,2021-11-28
864,0.9,2021-11-29
865,65.7,2021-11-30
866,11.9,2021-12-01
867,120.0,2022-10-01
868,37.9,2022-10-02
869,3.6,2022-10-03
870,1.5,2022-10-04
871,1.1,2022-10-05
872,56.3,2022-10-06
873,89.3,2022-10-07
874,2.1,2022-10-08
875,290.7,2022-10-09
876,97.0,2022-10-10
877,49.9,2022-10-11
878,261.2,2022-10-12
879,35.6,2022-10-13
880,0.0,2022-10-14
881,0.3,2022-10-15
882,0.1,2022-10-16
883,10.9,2022-10-17
884,9.2,2022-10-18
885,171.7,2022-10-19
886,136.8,2022-10-20
887,41.8,2022-10-21
888,74.9,2022-10-22
889,66.5,2022-10-23
890,226.7,2022-10-24
891,0.1,2022-10-25
892,0.2,2022-10-26
893,0.2,2022-10-27
894,4.5,2022-10-28
895,1.8,2022-10-29
896,25.0,2022-10-30
897,161.2,2022-10-31
898,37.3,2022-11-01
899,0.2,2022-11-02
900,0.0,2022-11-03
901,-0.1,2022-11-04
902,0.1,2022-11-05
903,0.8,2022-11-06
904,0.1,2022-11-07
905,1.8,2022-11-08
906,0.2,2022-11-09
907,1.2,2022-11-10
908,0.0,2022-11-11
909,134.2,2022-11-12
910,162.8,2022-11-13
911,0.3,2022-11-14
912,0.0,2022-11-15
913,0.3,2022-11-16
914,2.6,2022-11-17
915,0.0,2022-11-18
916,0.1,2022-11-19
917,-0.1,2022-11-20
918,0.1,2022-11-21
919,0.2,2022-11-22
920,3.6,2022-11-23
921,0.3,2022-11-24
922,0.0,2022-11-25
923,0.1,2022-11-26
924,0.4,2022-11-27
925,0.2,2022-11-28
926,0.1,2022-11-29
927,0.4,2022-11-30
928,0.2,2022-12-01
929,0.2,2022-12-02
930,0.4,2022-12-03
931,0.5,2022-12-04
932,0.6,2022-12-05
933,0.4,2022-12-06
934,0.4,2022-12-07
935,0.7,2022-12-08
936,37.4,2022-12-09
937,0.4,2022-12-10
938,0.1,2022-12-11
939,-0.1,2022-12-12
940,0.5,2022-12-13
941,35.3,2022-12-14
942,0.7,2022-12-15
943,2.2,2022-12-16
944,0.6,2022-12-17
945,0.4,2022-12-18
946,0.4,2022-12-19
947,0.4,2022-12-20
948,0.4,2022-12-21
949,0.3,2022-12-22
950,0.2,2022-12-23
951,83.3,2022-12-24
952,35.2,2022-12-25
953,0.4,2022-12-26
954,0.4,2022-12-27
955,0.4,2022-12-28
956,0.2,2022-12-29
957,0.6,2022-12-30
958,0.2,2022-12-31
959,42.7,2023-01-01
960,180.2,2014-11-01
961,1.6,2014-11-02
962,3.1,2014-11-03
963,1.8,2014-11-04
964,4.7,2014-11-05
965,1.3,2014-11-06
966,2.6,2014-11-07
967,13.5,2014-11-08
968,0.9,2014-11-09
969,3.5,2014-11-10
970,2.0,2014-11-11
971,57.9,2014-11-12
972,0.2,2014-11-13
973,0.2,2014-11-14
974,0.2,2014-11-15
975,48.7,2014-11-16
976,0.2,2014-11-17
977,0.3,2014-11-18
978,1.2,2014-11-19
979,0.3,2014-11-20
980,0.7,2014-11-21
981,1.3,2014-11-22
982,0.9,2014-11-23
983,0.3,2014-11-24
984,1.2,2014-11-25
985,2.1,2014-11-26
986,1.1,2014-11-27
987,1.1,2014-11-28
988,1.3,2014-11-29
989,5.4,2014-11-30
990,4.0,2014-12-01
991,0.7,2014-12-02
992,51.5,2014-12-03
993,20.5,2014-12-04
994,1.3,2014-12-05
995,2.3,2014-12-06
