NewIndex,Direct solar radiation mean [W/m2],Date
535,2.0,2011-01-22
536,2.1,2011-01-23
537,3.0,2011-01-24
538,6.2,2011-01-25
539,2.9,2011-01-26
540,2.3,2011-01-27
541,39.1,2011-01-28
542,2.1,2011-01-29
543,15.2,2011-01-30
544,2.8,2011-01-31
545,2.4,2011-02-01
546,2.7,2011-02-02
547,1.1,2011-02-03
548,22.7,2011-02-04
549,0.9,2011-02-05
550,26.2,2011-02-06
551,2.6,2011-02-07
552,2.0,2011-02-08
553,132.4,2011-02-09
554,134.2,2011-02-10
555,48.3,2011-02-11
556,121.3,2011-02-12
557,75.2,2011-02-13
558,98.2,2011-02-14
559,41.1,2011-02-15
560,143.8,2011-02-16
561,149.6,2011-02-17
562,95.6,2011-02-18
563,134.4,2011-02-19
564,170.3,2011-02-20
565,155.4,2011-02-21
566,193.0,2011-02-22
567,143.4,2011-02-23
568,119.1,2011-02-24
569,1.3,2011-02-25
570,1.3,2011-02-26
571,0.9,2011-02-27
572,155.2,2011-02-28
573,93.1,2011-03-01
574,1.5,2012-01-01
575,0.9,2012-01-02
576,0.4,2012-01-03
577,0.3,2012-01-04
578,1.0,2012-01-05
579,1.9,2012-01-06
580,1.8,2012-01-07
581,2.4,2012-01-08
582,4.5,2012-01-09
583,3.4,2012-01-10
584,1.7,2012-01-11
585,0.9,2012-01-12
586,1.1,2012-01-13
587,1.9,2012-01-14
588,3.2,2012-01-15
589,2.4,2012-01-16
590,8.9,2012-01-17
591,3.4,2012-01-18
592,1.4,2012-01-19
593,1.7,2012-01-20
594,1.5,2012-01-21
595,2.0,2012-01-22
596,5.7,2012-01-23
597,24.7,2012-01-24
598,26.3,2012-01-25
599,3.7,2012-01-26
600,48.8,2012-01-27
601,8.2,2012-01-28
602,2.8,2012-01-29
603,24.0,2012-01-30
604,49.2,2012-01-31
605,88.5,2012-02-01
606,90.5,2012-02-02
607,82.8,2012-02-03
608,22.7,2012-02-04
609,29.4,2012-02-05
610,3.8,2012-02-06
611,74.2,2012-02-07
612,110.6,2012-02-08
613,90.6,2012-02-09
614,1.6,2012-02-10
615,1.0,2012-02-11
616,1.4,2012-02-12
617,3.4,2012-02-13
618,1.2,2012-02-14
619,3.1,2012-02-15
620,3.9,2012-02-16
621,3.1,2012-02-17
622,0.8,2012-02-18
623,1.1,2012-02-19
624,32.1,2012-02-20
625,1.3,2012-02-21
626,148.6,2012-02-22
627,2.5,2012-02-23
628,70.7,2012-02-24
629,4.7,2012-02-25
630,98.0,2012-02-26
631,161.8,2012-02-27
632,1.4,2012-02-28
633,212.3,2012-02-29
634,1.8,2012-03-01
635,1.5,2021-10-01
636,0.0,2021-10-02
637,51.8,2021-10-03
638,0.1,2021-10-04
639,1.4,2021-10-05
640,-0.1,2021-10-06
641,0.4,2021-10-07
642,11.7,2021-10-08
643,1.4,2021-10-09
644,0.7,2021-10-10
645,2.6,2021-10-11
646,1.1,2021-10-12
647,115.1,2021-10-13
648,1.5,2021-10-14
649,1.0,2021-10-15
650,0.6,2021-10-16
651,1.0,2021-10-17
652,50.3,2021-10-18
653,166.1,2021-10-19
654,3.0,2021-10-20
655,0.3,2021-10-21
656,6.7,2021-10-22
657,10.6,2021-10-23
658,58.9,2021-10-24
659,0.9,2021-10-25
660,1.2,2021-10-26
661,1.3,2021-10-27
662,0.7,2021-10-28
663,0.8,2021-10-29
664,1.5,2021-10-30
665,1.4,2021-10-31
666,0.4,2021-11-01
667,0.1,2021-11-02
668,0.4,2021-11-03
669,1.0,2021-11-04
670,1.6,2021-11-05
671,1.4,2021-11-06
672,91.3,2021-11-07
673,66.0,2021-11-08
674,3.8,2021-11-09
675,23.4,2021-11-10
676,41.1,2021-11-11
677,1.3,2021-11-12
678,1.9,2021-11-13
679,39.0,2021-11-14
680,1.3,2021-11-15
681,30.8,2021-11-16
682,0.9,2021-11-17
683,1.0,2021-11-18
684,49.5,2021-11-19
685,1.9,2021-11-20
686,22.3,2021-11-21
687,35.3,2021-11-22
688,2.4,2021-11-23
689,34.1,2021-11-24
690,3.4,2021-11-25
691,1.8,2021-11-26
692,3.8,2021-11-27
693,3.0,2021-11-28
694,1.7,2021-11-29
695,2.7,2021-11-30
696,1.2,2021-12-01
697,26.1,2022-10-01
698,0.8,2022-10-02
699,0.6,2022-10-03
700,1,2022-10-04
701,1.4,2022-10-05
702,92,2022-10-06
703,237.5,2022-10-07
704,109.5,2022-10-08
705,188.8,2022-10-09
706,69,2022-10-10
707,0,2022-10-11
708,133,2022-10-12
709,1.3,2022-10-13
710,1.4,2022-10-14
711,5.6,2022-10-15
712,1,2022-10-16
713,19.1,2022-10-17
714,62.1,2022-10-18
715,4.5,2022-10-19
716,36.8,2022-10-20
717,23.4,2022-10-21
718,0.8,2022-10-22
719,92.2,2022-10-23
720,59.4,2022-10-24
721,59.1,2022-10-25
722,1.3,2022-10-26
723,1.5,2022-10-27
724,0.9,2022-10-28
725,0.6,2022-10-29
726,147.2,2022-10-30
727,110.5,2022-10-31
728,1.7,2022-11-01
729,4.8,2022-11-02
730,1.2,2022-11-03
731,0.6,2022-11-04
732,0,2022-11-05
733,0.7,2022-11-06
734,76.9,2022-11-07
735,1.4,2022-11-08
736,1.2,2022-11-09
737,0.9,2022-11-10
738,0.7,2022-11-11
739,1.1,2022-11-12
740,1.1,2022-11-13
741,1.2,2022-11-14
742,12.7,2022-11-15
743,49.7,2022-11-16
744,31.9,2022-11-17
745,4,2022-11-18
746,1.7,2022-11-19
747,12.6,2022-11-20
748,11.2,2022-11-21
749,10.7,2022-11-22
750,3.5,2022-11-23
751,0.9,2022-11-24
752,1.4,2022-11-25
753,1.1,2022-11-26
754,1.2,2022-11-27
755,1.2,2022-11-28
756,1,2022-11-29
757,1.5,2022-11-30
758,1.8,2022-12-01
759,1.7,2022-12-02
760,2.3,2022-12-03
761,1.9,2022-12-04
762,1.3,2022-12-05
763,1.3,2022-12-06
764,1.2,2022-12-07
765,0.3,2022-12-08
766,0.1,2022-12-09
767,1,2022-12-10
768,1.9,2022-12-11
769,3.6,2022-12-12
770,2.6,2022-12-13
771,4.3,2022-12-14
772,3.2,2022-12-15
773,2.3,2022-12-16
774,2.7,2022-12-17
